Category,foods
American Indian/Alaska Native Foods,165
Baby Foods,345
Baked Products,517
Beef Products,954
Beverages,366
Breakfast Cereals,195
Cereal Grains and Pasta,181
Dairy and Egg Products,291
Fast Foods,312
Fats and Oils,216
Finfish and Shellfish Products,264
Fruits and Fruit Juices,355
"Lamb, Veal, and Game Products",464
Legumes and Legume Products,290
"Meals, Entrees, and Side Dishes",81
Nut and Seed Products,137
Pork Products,336
Poultry Products,383
Restaurant Foods,109
Sausages and Luncheon Meats,167
Snacks,176
"Soups, Sauces, and Gravies",254
Spices and Herbs,63
Sweets,358
Vegetables and Vegetable Products,814
